338	Бестужевых ул.
339	Бехтерева ул.
340	Бибиревская ул.
341	Библиотечная ул.
342	Библиотечный пр.
343	Биржевая пл.
344	Маршала Бирюзова ул.
345	Бирюлевская ул.
346	Бирюсинка ул.
349	Благовещенский пер.
351	Благуша ул.
352	Бобров пер.
353	Бобруйская ул.
354	Богатырская 3-я ул.
355	Богатырский 2-й пер.
357	Богданова ул.
358	Богородский Вал ул.
359	Богородское ш.
360	Богословский пер.
361	Богоявленский пер.
362	Богучарская ул.
363	Богучарский 1-й пер.
364	Богучарский 2-й пер.
365	Боевская 1-я ул.
366	Боевская 2-я ул.
367	Боенский пр.
368	Боженинский Малый пер.
369	Боженко ул.
370	Бойцовая ул.
371	Болотная наб.
372	Болотная пл.
373	Болотная ул.
374	Болотниковская ул.
375	Больничный пер.
376	Большая ул.
377	Большого Круга аллея
378	Бориса Галушкина ул.
379	Борисовская ул.
380	Борисовские Пруды ул.
382	Борисовский пр.
383	Борисоглебский пер.
384	Боровая ул.
385	Боровицкая пл.
386	Боровский пр.
387	Боровское ш.
392	Бородинская 1-я ул.
393	Бородинская 2-я ул.
394	Борьбы пл.
396	Ботаническая Малая ул.
397	Ботаническая ул.
398	Ботанический 1-й пр.
399	Ботанический 2-й пр.
400	Ботанический пер.
401	Боткинский 1-й пр.
402	Боткинский 2-й пр.
403	Василия Ботылева ул.
404	Академика Бочвара ул.
405	Бочкова ул.
406	Боярский пер.
407	Братеевская ул.
408	Братская ул.
409	Братцевская ул.
410	Брестская 1-я ул.
411	Брестская 2-я ул.
413	Бригадирский пер.
414	Бродников пер.
415	Бронная Большая ул.
417	Бронная Малая ул.
418	Бронницкая ул.
419	Бронницкий пер.
420	Брошевский пер.
421	Брюллова ул.
422	Брюсов пер.
423	Брянская ул.
424	Брянский 1-й пер.
425	Брянский 2-й пер.
426	Будайская ул.
427	Будайский пр.
428	Екатерины Будановой ул.
429	Буденного просп.
430	Буженинова ул.
431	Булатниковская ул.
432	Булатниковский пр.
433	Бумажная просека
434	Бумажный пр.
435	Буракова ул.
436	Бурденко ул.
437	Бурцевская ул.
438	Бусиново н.п.
439	Бусиновская Горка ул.
440	Бутиковский пер.
441	Бутлерова ул.
442	Бутовская Большая ул.
443	Бутовская ул.
444	Бутырская ул.
446	Бутырский Вал ул.
447	Бухвостова 1-я ул.
448	Бухвостова 2-я ул.
449	Бухвостова 3-я ул.
450	Бауманская пл.
451	Безбожный пер.
452	Белинского ул.
453	Белорусского Вокзала пл.
454	Большевистская ул.
455	Большевистский пер.
456	Братиславская ул.
458	Генерала Белобородова ул.
459	Березовой Рощи пр.
462	Брянский Пост ул.
464	Бунинская Аллея ул.
466	Бутово пос.
468	Бутово пос. мкр.1
470	Бутово Северное мкр.2
471	Бутово Северное мкр.3
472	Бутово Северное мкр.4А
473	Бутово Северное мкр.4Б
474	Бутово Северное мкр.5
475	Бутово Северное мкр.6
476	Белокаменная ст.
480	Бутово Южное мкр.1 кв.2А жк-1
481	Бутово Южное мкр.1 кв.2А жк-3
484	Бутово Южное мкр.2
485	Бутово Южное мкр.3
486	Бутово Южное мкр.4
487	Бутово Южное мкр.4А
488	Бутово Южное мкр.5
489	Бутово Южное мкр.5А
490	Бутово Южное мкр.6
491	Бутово Южное мкр.6А
492	Бутово Южное мкр.Б
493	Бутово Южное мкр.Д
494	Бутырской Заставы пл.
495	Бартеневская ул.
496	Битцевская аллея
522	Балканский Малый пер.
524	Барыбинская ул.
525	Батайский пер.
526	Батюнино н.п.
527	Баумана ул. (Солнцево)
528	Беговой 2-й пр.
529	Безымянная ул.
530	Белинского ул. (г.Зеленоград)
531	Березовая ул.
532	Бескудниковская ветка ул.
533	Бестужева ул.
534	Бибирево н.п.
535	Битцевская ул.
536	Благодарения бул.
537	Бобылевский пер.
538	Богатырский 1-й пер.
539	Богатырский 3-й пер.
540	Богатырский 4-й пер.
541	Богородское н.п.
542	Бодрая Новая ул.
543	Больничный пр. (Солнцево)
544	Боровая ул. (Перовский р-н)
545	Боровой туп.
546	Боровская ул. (Солнцево)
547	Боровское ш. (Внуково)
548	Боровское ш. (Солнцево)
549	Ботаническая Большая ул.
550	Ботанический 4-й пр.
551	Братеевская Большая ул.
552	Братеевская Малая ул.
553	Братцево н.п.
554	Брехово н.п.
555	Буденного ул. (г.Зеленоград)
556	Бунтарская 2-я ул.
557	Бурцево н.п.
558	Бусиновский пр.
559	Берсеневский пер.
560	Бескудниково н.п.
561	Бирюлево н.п.
562	Битца дер.
563	Богатырская 2-я ул.
564	Больничный пер. (Кунцево)
565	Бунтарская 1-я ул.
566	Балашихинская ул.
567	Банный пер. (г.Зеленоград)
568	Бутово Северное мкр.7В
569	Бутово Южное мкр.1
570	Березовый пер.
571	Бутырский 1-й пер.
572	Бутырский 3-й пер.
573	Бутырский пост
574	Бутово Южное мкр.Д1
575	Бутово Южное мкр.1 кварт.3А
576	Бутово Южное мкр.1 кварт.2Б ЖК-2
577	Бутово Южное мкр.1 кварт.2Б ЖК-1
578	Бутово Южное мкр.1 кварт.2А ЖК-2
579	Бутово Южное комплекс В
580	Бутово Южное комплекс Б
581	Бутово Северное мкр.2А
582	Будка 31 км.
583	Братеево мкр.2-2а
584	Братеево мкр.1б
585	Бирюлево Западное Харьковский пр. мкр.3-3а
586	Бутово Южное мкр.1 кварт.3Г
587	Бутово Южное комплекс А
588	Бутово Южное мкр.1 кварт.1А
589	Бутово Южное комплекс "Гавриково"
590	Бутово Южное мкр.1 кварт.1Б
591	Бутово Южное комплекс А-1
592	Бутово Северное мкр.6А
593	Маршала Баграмяна ул.
594	Бутово Южное мкр."Поляны-А"
595	Бутово Южное комплекс Б-1
596	Бутово Южное мкр.7
597	Бутово Северное мкр.9
600	Бутово Южное мкр.1, кварт. 2
602	Бутово Южное жилой компл. Г, мкр.17
603	Бутово Северное мкр. 8А
604	Бутово Южное жилой компл. Г, мкр.1
605	Бутово Южное жилой компл. Г, пр.пр. 670,мкр.1
606	Бутово Южное жилой компл. Г, мкр.2
607	Бутово Южное жилой компл. Г, пр.пр. 678,мкр.2
608	Бутово Южное жилой компл. Г, мкр.3
609	Бутово Южное жилой компл. Г, пр.пр. 678,мкр.3
610	Бутово Южное жилой компл. Г, мкр.4
611	Бутово Южное жилой компл. Г, мкр.5
612	Бутово Южное жилой компл. Г, мкр.6
613	Бутово пос. кварт. 3
614	Березовая аллея (г.Зеленоград)
615	Болдов Ручей ул.
616	Бутово Южное мкр.11
618	Бутово Южное жилой компл.Г,пр.пр. 670,мкр.12
619	Бутово Южное жилой компл.Г,пр.пр. 670,мкр.13
620	Бутово Южное жилой компл.Г,пр.пр. 670,мкр.14
621	Бутово Южное жилой компл.Г,пр.пр. 670,мкр.15
622	Бутово Южное жилой компл.Г,пр.пр. 670,мкр.16
623	Бутово Южное жилой компл. Г, мкр.9
624	Бутово Южное жилой компл. Г, мкр.10
625	Бутово Южное жилой компл. Г, мкр.11
626	Бутово пос. кварт. 4
627	Бутово Южное, Щербинка, мкр.1
628	Бутово Южное, Щербинка, мкр.2
629	Бутово Южное, Щербинка, мкр.3
630	Бутово Южное, Щербинка, мкр.4
631	Брусилова ул.
635	Бутово пос. кварт. 1
636	Бутово пос. кварт. 2
637	Бутово Южное жилой компл. Г, кварт.135
638	Бутово Южное жилой компл. Г, кварт.139
639	Бутово Ю. жил. компл.Г, кварт.121(мкр.19-23)
640	Бутово Южное жилой компл. Г, мкр.78
641	Бутово Южное, комплекс Г, жилая группа № 80А
642	Бутово Ю. жил.компл."Г", кварт.133(мкр.36-38)
643	Бутово Южное, мкр. Б-1
662	Вавилова ул.
664	Вагоноремонтная ул.
665	Вадковский пер.
666	Валдайский пр.
667	Валовая ул.
668	Варваринская ул.
669	Варварка ул.
671	Варварские Ворота пл.
673	Академика Варги ул.
674	Варсонофьевский пер.
675	Варшавский 1-й пр.
676	Варшавский 2-й пр.
677	Варшавского ш. 6-я линия
678	Варшавское ш.
684	Маршала Василевского ул.
685	Васильевская ул.
687	Васнецова пер.
688	Ватин Большой пер.
689	Ватин Малый пер.
690	Ватутина ул.
691	Введенского ул.
692	Ведерников пер.
693	Веерная ул.
694	Вековая ул.
695	Велозаводская ул.
697	Вельяминовская ул.
698	Веневская ул.
699	Венецианова ул.
700	Вербная ул.
701	Верейская ул.
702	Вересаева ул.
703	Вересковая ул.
704	Верещагина ул.
705	Верземнека ул.
706	Вернадского просп.
710	Верхнелихоборская ул.
711	Верхние Поля ул.
712	Верхняя аллея
713	Верхняя ул.
714	Верхоянская ул.
715	Маршала Вершинина ул.
716	Веселая ул.
717	Весенняя ул.
718	Весковский пер.
719	Весковский туп.
721	Веткин пр.
722	Веткина ул.
723	Ветлужская ул.
724	Ветошный пер.
725	Вешних Вод ул.
726	Вешняковская пл.
727	Вешняковская ул.
728	Вешняковский 1-й пр.
729	Вешняковский 4-й пр.
730	Взлетная ул. (Внуково)
731	Викторенко ул.
732	Вильнюсская ул.
733	Вилюйская ул.
734	Винницкая ул.
735	Академика Виноградова ул.
737	Винокурова ул.
738	Винтовая ул. (Внуково)
739	Витебская ул.
740	Вишневая ул.
741	Вишневая ул. (г.Зеленоград)
742	Академика Вишневского пл.
743	Всеволода Вишневского ул.
744	Вишняковский пер.
745	Владимирская 1-я ул.
746	Владимирская 2-я ул.
747	Владимирская 3-я ул.
748	Архитектора Власова ул.
750	Власьевский Большой пер.
751	Власьевский Малый пер.
752	Внуково пос.
753	Внуковская 1-я ул. (Внуково)
754	Внуковская 2-я ул. (Внуково)
755	Внуковская 3-я ул. (Внуково)
756	Внуковская 4-я ул. (Внуково)
757	Внуковская 5-я ул. (Внуково)
758	Внуковская Большая ул.
759	Внуковское ш.
760	Внутренний пр.
761	Водников ул.
762	Водопроводный пер.
763	Водопьянова ул.
764	Воздвиженка ул.
765	Воздушная ул.
766	Вознесенский пер.
767	Вознесенский пр.
768	Войкова ул.
769	Войковский 1-й пр.
770	Войковский 2-й пр.
771	Войковский 3-й пр.
772	Войковский 4-й пр.
773	Войковский 5-й пр.
774	Войсковая ул.
775	Войтовича ул.
777	Вокзальная пл. (Внуково)
778	Вокзальная пл.
779	Вокзальная ул.
780	Вокзальный пер.
781	Академика Волгина ул.
782	Волгоградский просп.
786	Волжский бул.
789	Волков пер.
790	Волкова Космонавта ул.
792	Волконский 1-й пер.
793	Волконский 2-й пер.
794	Воловья ул.
795	Вологодский пр.
796	Волоколамский 1-й пр.
797	Волоколамский 3-й пр.
798	Волоколамский Б. пр.
799	Волоколамский пр.
800	Волоколамское ш.
803	Волочаевская ул.
805	Волховский пер.
806	Волхонка ул.
807	Волынская ул.
808	Вольная ул.
809	Вольный 2-й пер.
810	Вольный пер.
811	Вольская 1-я ул.
812	Вольская 2-я ул.
813	Воробьевская наб.
814	Воробьевский 1-й пр.
815	Воробьевский 4-й пр.
816	Воробьевское ш.
817	Воровского пл.
818	Воровского пр.
819	Воронежская ул.
820	Воронцово Поле ул.
822	Воронцовская ул.
823	Воронцовские Пруды ул.
824	Воронцовский парк
825	Воронцовский пер.
826	Воротниковский пер.
827	Ворошилова ул. (г.Зеленоград)
828	Ворошилова ул. (пос.Толстопальцево)
829	Ворошиловский парк
830	Воскресенская ул.
831	Воскресенские Ворота пр.
833	Восточная ул.
834	Восточный 3-й пер.
835	Восточный пос.
836	Вострухина ул.
837	Востряковский пр.
838	Востряковское ш.
839	800-летия Москвы ул.
842	8 Марта 1-я ул.
843	8 Марта 4-я ул.
844	8 Марта ул.
845	8 Марта ул. (Внуково)
846	8 Марта ул. (Липки п.)
847	Вражский 1-й пер.
848	Вражский 2-й пер.
849	Врачебный пр.
850	Врубеля ул.
851	Всеволожский пер.
852	Всехсвятский пр.
853	Вспольный пер.
854	Вторая Пятилетка ул.
855	Самеда Вургуна ул.
856	Вучетича ул.
857	Выборгская ул.
858	Выползов пер.
859	Высокая ул.
860	Высоковольтный пр.
861	Высотный пр.
862	Вышеславцев 1-й пер.
863	Вышеславцев 2-й пер.
864	Вяземская ул.
865	Вязовский 1-й пр.
866	Вязовский 2-й пр.
867	Вятская ул.
868	Вятский 4-й пер.
871	Вахтангова ул.
872	Веснина ул.
873	Владимирова пр.
874	Воеводина пер.
875	Володарского ул.
876	Воровского ул.
877	Восстания пл.
879	Вузовский Большой пер.
880	Вузовский Малый пер.
881	Васильевский Спуск пл.
882	800-летия Москвы пер.
885	Волоцкой пер.
886	Волжский бульвар квартал 113А
887	Волжский бульвар квартал 114А
888	Воробьевы Горы
889	Восьмого Марта ул. (Косино-Ухтомский)
892	Ватутинский 10-й пер.
893	Ватутинский 3-й пер.
896	Виноградово н.п.
901	Вокзальная ул. (Бутово)
902	Вокзальная ул. (дачн.пос.им.Ларина)
903	Вокзальная ул. (дачн.пос.Мичуринец)
904	Вокзальный пер. (Бутово)
905	Волжский Бульвар квартал 95
906	Воронцово мкр. 16Б
908	Ворошиловская дача
909	Восточная коммун. зона
910	Восточный 1-й пер.
911	Восточный 1-й пр.
912	Виндавская ул.
925	Варшавское ш. 3-я линия вл.7а
926	Варшавское ш. 1-я линия
927	Варшавское ш. 2-я линия
928	Варшавское ш. 3-я линия
929	Варшавское ш. 4-я линия
930	Варшавское ш. 5-я линия
931	Васильковая ул.
932	Ватутино н.п.
933	Ватутинский 4-й пер.
934	Ватутинский 5-й пер.
935	Ватутинский 6-й пер.
936	Ватутинский 7-й пер.
937	Ватутинский 8-й пер.
